NUMERO_REGISTRO_record_number,DENOMINACION_FOSA_grave_name,TIPO_FOSA_grave_type,FECHA_FOSA_grave_date,MUNICIPIO_municipality,PROVINCIA_province,COMAUTONOM_autonomous_community,TIPO_INTERVENCION_intervention_type,FECHA_INTERVENCION_intervention_date,ESTADO_ACTUAL_current_grave_status,NUMERO_PERSONAS_FOSA_number_people_grave,NUMERO_PERSONAS_EXHUMADAS_number_people_exhumed,NUMERO_PERSONAS_IDENTIFICADAS_number_people_identified,ENTIDAD_PROMOTORA_sponsoring_institution,ENTIDAD_INFORMANTE_reporting_entity,OBSERVACIONES_observations,,
1872/2010 CADI,Fosa en el cementerio de Algodonales,,,Algodonales,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Según la investigación llevada a cabo por la entidad informante, dentro del cementerio se localiza un fosa común con un número indeterminado de víctimas.",,
1852/2010 CADI,Fosas en el cementerio de San Miguel,,,Arcos de la Frontera,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía," también existe una placa de homenaje a las víctimas instalada por el Ayuntamiento de Arcos y se conocen los lugares más frecuentes de fusilamiento de los represaliados: las tapias del cementerio, la Cuesta de la Escalera, en la carretera entre Arcos y El Bosque, y la finca conocida como Miraflora. Una de las fosas que está en este cementerio es enorme, probablemente junto con la de Trebujena, una de las fosas más grandes que se han localizado. Esta fosa, en realidad, serían tres fosas adyacentes que se encuentran en el primer patio, al lado derecho del camino principal, que formarían un pasillo entre dos bloques de nichos y que estarían cubiertas por una capa de cemento. A pesar de que se han realizado obras sobre las fosas, se piensa que los restos son recuperables. El número y el origen de las personas inhumadas en estas fosas es indeterminado.Otra fosa estaría en el lado izquierdo del pasillo central, justo antes de entrar en el segundo patio. Una quinta fosa estaría ubicada en una esquina formada por el muro izquierdo del primer patio y el muro de separación entre primer y segundo patio. """,,
1853/2010 CADI,Fosa de Las Lajas,,,Arcos de la Frontera,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"En el término municipal de Arcos de la Frontera se tiene conocimiento de la existencia de otra fosa común, conocida como Fosa de la Lajas, que estaría situada en el km. 22 de la carretera entre Arcos de la Frontera y el Bosque, en el lado derecho según se viene a Arcos. La fosa se encontraría entre un arroyo y el tramo de la carretera antigua. Al realizarse las obras de la actual carretera se vertieron escombros y material sobrante sobre la superficie de la fosa. El número y el origen de personas inhumadas en esta fosa es indeterminado.",,
1925/2010 CADI,Fosa en antiguo cementerio de Los Barrios,,,"Barrios, Los",Cádiz,Andalucía,,,NO INTERVENIDA,13,13,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Según la entidad informante, la fosa está localizada en el antiguo cementerio que había dentro del casco urbano. El cementerio fue trasladado en 1976 a las afueras del pueblo y el terreno del antiguo camposanto es actualmente el parque Bas Infante, donde según los testigos seguiría la fosa. El número de víctimas enterradas es indeterminado aunque se cuenta con trece posibles identidades.",,
1845/2010 CADI,Fosa en antiguo cementerio de Benalup,,,Benalup,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"En Benalup, la entidad informante tiene referencias de la existencia de una fosa en el antiguo cementerio, actualmente una plazoleta, en la misma fosa en que fueron enterrados los fusilados en 1933 durante los sucesos de Casas Viejas. Actualmente los restos ocuparían un nicho en el nuevo cementerio con una lápida cuya inscripción sólo hace referencia a los muertos de Casas Viejas.",,
1846/2010 CADI,Fosa en el cruce Alcalá-Benalup,,,Benalup,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""La entidad informante localiza otra fosa en el cruce Alcalá-Benalup, en la curva tras el kilómetro 0 de la carretera A-2226, en el paraje conocido como """"El punto"""", lugar donde se produjeron varios fusilamientos.""",,
1873/2010 CADI,Fosa en cementerio de Benaocaz,,,Benaocaz,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Según las investigaciones realizadas, dentro del cementerio de la localidad existe una fosa común en la que estarían sepultadas entre 17 y 19 víctimas.",,
1874/2010 CADI,"""Fosa en el paraje """"Manga de Villaluenga""""""",,,Benaocaz,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Según los testimonios recogidos, dentro del término municipal de Benaocaz existiría una fosa común en el paraje conocido como la Manga de Villaluenga con tres víctimas.",,
1875/2010 CADI,Fosas en cementerio de Bornos,,,Bornos,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"La fosa estaría ubicada en un jardín en el lado derecho, según se accede al recinto. Actualmente en ese jardín hay dos enterramientos en superficie, rodeados de vallas. Parece ser que en dicha fosa podían haber sido enterrados cuatro hombres de Espera y otras víctimas de Arcos de la Frontera y Villamartín. ",,
1848/2010 CADI,Fosa en el paraje Fuente de Aguaturbia,,,"Bosque, El",Cádiz,Andalucía,,,NO INTERVENIDA,,1,1,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"El enterramiento se encuentra en las proximidades del lugar conocido como Fuente de Aguaturbia, al que se accede a través de la carretera A-372, a unos 3 km. de El Bosque, en el margen izquierdo en dirección a Grazalema. Actualmente es una zona de monte y los laterales de la antigua carretera están cubiertos por matorral bajo, por lo que la localización de la fosa es difícil. Según parece, la fosa estaba señalizada con una gran piedra que taparía la sepultura y allí fue enterrado un vecino de Benamahoma.",,
1949/2010 CADI,Fosas en el cementerio de El Bosque,,,"Bosque, El",Cádiz,Andalucía,DIGNIFICACIÓN,2/1/2005,EXHUMADA TOTAL,30,30,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""A finales de 2003, al acometerse labores de cimentación para la construcción de nichos en el interior del cementerio de la localidad, se hallaron una serie de restos óseos. Un vecino de la población, tras muchos años de silencio, narró que los restos pertenecían a personas fusiladas en los primeros meses de la Guerra Civil y que existían varias fosas excavadas de forma paralela al muro perimetral del cementerio en su esquina sur. Las víctimas, más de treinta, eran vecinos de municipios de la Sierra de Cádiz: Ubrique, Benamahoma, Grazalema. En tres fosas, incluyendo una que fue desmantelada en los años 70 por la construcción de nichos, podrían hallarse los cuerpos de personas procedentes de Ubrique. En una cuarta fosa, los de personas procedentes de Benamahoma y en una quinta fosa, los de personas procedentes de Grazalema. Estas exhumaciones fueron las primeras que se acometían de manera oficial por la Junta de Andalucía. En febrero de 2005, con un acto de homenaje, los restos exhumados de 13 personas de Ubrique fueron de nuevo enterrados en unos nichos de esa localidad, junto a una lápida con sus nombres."" ",,
1949/2010 CADI,Fosas en el cementerio de El Bosque,,,"Bosque, El",Cádiz,Andalucía,EXCAVACIÓN,12/15/2003,EXHUMADA TOTAL,30,30,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""A finales de 2003, al acometerse labores de cimentación para la construcción de nichos en el interior del cementerio de la localidad, se hallaron una serie de restos óseos. Un vecino de la población, tras muchos años de silencio, narró que los restos pertenecían a personas fusiladas en los primeros meses de la Guerra Civil y que existían varias fosas excavadas de forma paralela al muro perimetral del cementerio en su esquina sur. Las víctimas, más de treinta, eran vecinos de municipios de la Sierra de Cádiz: Ubrique, Benamahoma, Grazalema. En tres fosas, incluyendo una que fue desmantelada en los años 70 por la construcción de nichos, podrían hallarse los cuerpos de personas procedentes de Ubrique. En una cuarta fosa, los de personas procedentes de Benamahoma y en una quinta fosa, los de personas procedentes de Grazalema. Estas exhumaciones fueron las primeras que se acometían de manera oficial por la Junta de Andalucía. En febrero de 2005, con un acto de homenaje, los restos exhumados de 13 personas de Ubrique fueron de nuevo enterrados en unos nichos de esa localidad, junto a una lápida con sus nombres.""",,
1109/2009 CADI,NO CONSTA,,,Cádiz,Cádiz,Andalucía,,,TRASLADADA AL VALLE DE LOS CAÍDOS,42,42,42,,Patrimonio Nacional,"Trasladada al Valle de los Caídos con la fecha/s:28/03/1959,28/05/1966,26/05/1967",,
1825/2010 CADI,Fosa en el cementerio de San José,,,Cádiz,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""En el cementerio de San José existirían fosas comunes donde fueron enterrados cientos de víctimas de la Guerra Civil. Desde hace años se proyecta clausurar el camposanto, y a pesar de que se ha anunciado que las familias de los ejecutados podían recuperar sus restos, en pocos casos se ha hecho según las informaciones aún quedarían por exhumar más de 300 víctimas.""",,
1920/2010 CADI,"""Fosa en """"El Palancar""""""",,,Castellar de la Frontera,Cádiz,Andalucía,,,NO INTERVENIDA,8,8,8,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""Según la entidad informante, en esta localidad estaría localizada una fosa con al menos 8 víctimas. La fosa estaría ubicada en la dehesa """"El Olivar"""" , en el paraje denominado """"El Palancar"""".""",,
1921/2010 CADI,Fosa en el cementerio de Castellar Viejo,,,Castellar de la Frontera,Cádiz,Andalucía,,,NO INTERVENIDA,8,8,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"En el término municipal de Castellar de la Frontera, en el cementerio de uno de sus núcleos de población, Castellar Viejo, pasando el castillo estaría localizada una fosa común con 8 víctimas.",,
1827/2010 CADI,Fosas en el cementerio de Chiclana,,,Chiclana de la Frontera,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""En el antiguo cementerio de San Juan Bautista se tiene referencia de varias fosas dos fosas habrían quedado cubiertas por hileras de nichos, aunque sin concretar su localización exacta, y una tercera fosa se encontraría al fondo de un camino que empieza en la entrada al recinto, en una zona arbolada donde no se ha construido nada, el llamado patio de San Julio, donde habrían sido enterradas muchas de la víctimas fusiladas en los muros del cementerio, y en otras zonas como el Huerto del Panzón o el Pinar de los Franceses. En marzo de 2011 se han realizado catas para la localización de esta fosa común.""","
",
2463/2011 CADI,Fosa en el cementerio de Chipiona,FUSILAMIENTO,27/08/1936,Chipiona,Cádiz,Andalucía,,,DESAPARECIDA,7,8,7,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"En el cementerio de Chipiona, en algún lugar no determinado aún debido a las remodelaciones que ha sufrido el recinto, se tiene conocimiento de la existencia de una fosa común, donde fueron enterrados ocho vecinos de Sanlúcar, detenidos en el Castillo de Santiago de esa localidad, que fueron fusilados en el paraje conocido como Pozo del Zapatero, en las inmediaciones de Chipiona. En diciembre de 2005 se instaló un monumento en memoria de las víctimas de la represión.",,
1877/2010 CADI,Fosa en finca San Antón,,,Espera,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""Según las investigaciones realizadas, existe una fosa común en la finca San Antón, en las proximidades de la localidad,a la que se accede por un camino rural desde la carretera Espera-Arcos A-393, la fosa se ubicaría en las proximidades de un abrevadero de ganado, en lo que antiguamente era un pequeño bosque de eucaliptos (hoy desaparecido) y cerca de unas chumberas. No se conoce número ni identidad de las víctimas.",,
1876/2010 CADI,Fosa en el cementerio de El Gastor,,,"Gastor, El",Cádiz,Andalucía,,,NO INTERVENIDA,4,4,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Según las informaciones recibidas, habría una fosa común en el cementerio de la localidad que albergaría los cuerpos de 4 víctimas. La fosa se situa en la esquina inferior derecha de un jardín al acceder al recinto.",,
2462/2011 CADI,Fosa en el paraje La Fresnadilla,,,"Gastor, El",Cádiz,Andalucía,,,NO INTERVENIDA,,1,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""La fosa esta situada en una finca privada, en el paraje conocido como La Presnadilla, a la que se llega por un camino rural llamado Carril de los Algarrobales. Allí, en una zona llana se situan dos montones de piedra, bajo uno de ellos ahbría sido enterrada una mujer vecina de El Gator conocida como Isabel """"La Panita"""".""",,
1878/2010 CADI,Fosa en cementerio de Grazalema,,,Grazalema,Cádiz,Andalucía,,,NO INTERVENIDA,,31,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"En el cementerio de Grazalema existe una fosa de grandes dimensiones en la que, según los testimonios orales, estarían sepultados al menos 31 individuos, ya que se han recogido testimonios que hablan de dos sacas con 14 personas y 17 personas cada una. La fosa está situada cerca del muro Noreste. Sobre esta fosa, en los años 80, se levantó un monolito a las víctimas de la Guerra Civil de la localidad y se colocó un suelo de hormigón que actúa como acotación del terreno de la fosa.",,
1879/2010 CADI,Fosa en la 'Cañada de las mujeres',,,Grazalema,Cádiz,Andalucía,,,NO INTERVENIDA,,15,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""En el término municipal de Grazalema, dentro de la finca """"El Retamalejo"""", en el paraje conocido como Cañada de las Mujeres, estaría localizada una fosa con 15 víctimas, catorce mujeres y un niño de quince años. Habrían sido fusilados en una curva de la carretera A-372, cercana a la entrada de la finca, y enterrados en un alfanje, horno de carbón vegetal. El paraje sufrió un incendio en los año 70 y se realizaron después tareas de reforestación, con maquinaria pesada para la construcción de terrazas, respetando el lugar donde se situaba la fosa.""",,
1880/2010 CADI,Fosa en el cementerio de Benamahoma,,,Grazalema,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Según las informaciones recogidas, en el cementerio de Benamahoma, pedanía de Grazalema, existe una fosa común que ocuparía todo el muro perimetral que separa el cementerio viejo de Benamahoma de una calle adyacente. Actualmente el recinto está en desuso, por lo que la zona está en estado de abandono.",,
2464/2011 CADI,Fosa en el paraje Monte Abajo,,,Grazalema,Cádiz,Andalucía,,,NO INTERVENIDA,1,3,1,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"La fosa común se ubica en torno a una antigua calera en el paraje conocido como Monte Abajo, en el margen izquierdo de la carretera A-372 en sentido a Ronda. La zona se encuentra abandonada, poblada de maleza. Parece ser que en ese lugar fueron enterradas tres personas, de las que se conocería la identidad de una. ",,
2465/2011 CADI,Fosa en el Puerto de los Alamillos,,,Grazalema,Cádiz,Andalucía,,,NO INTERVENIDA,1,2,1,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"La fosa se encontraría en una finca privada en la zona del Puerto de los Alamillos, en el margen izquierdo de la carretera A-372 en sentido a Ronda, al fondo de la finca cerca de un acebuche. Parece ser que allí se encuentran inhumadas dos personas.  ",,
2466/2011 CADI,Fosa en el paraje Fuente de la Ladera,,,Grazalema,Cádiz,Andalucía,,,NO INTERVENIDA,1,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Se tiene constancia del enterramiento de una víctima en el paraje denominado Fuente de la Ladera, en torno a una roca de grandes dimensiones en una zona de pinar y maleza cerca de la fuente. Un familiar de la víctima señaló el lugar con dos cruces de cal, que con el paso del tiempo han desaparecido.",,
2467/2011 CADI,Fosa en el paraje Hoyo del Tarazón,,,Grazalema,Cádiz,Andalucía,,,NO INTERVENIDA,2,2,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"La fosa se encontraría en un paraje natural conocido como el Hoyo del Tarazón, en una pequeña era próxima de difícil acceso. La fosa está cubierta por un majano de piedras y allí, al parecer, fueron enterrados dos vecinos de Benamahoma.",,
1274/2009 CADI,NO CONSTA,,,Jerez de la Frontera,Cádiz,Andalucía,,,TRASLADADA AL VALLE DE LOS CAÍDOS,3,3,3,,Patrimonio Nacional,Trasladada al Valle de los Caídos con la fecha/s:27/04/1964,,
1829/2010 CADI,Fosa en antigua casa de postas de Torremelgarejo,,,Jerez de la Frontera,Cádiz,Andalucía,,,DESAPARECIDA,20,20,17,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""En Jerez de la Frontera si tiene referencias de varias fosas con víctimas de la Guerra Civil una de ellas estaría situada en las inmediaciones de una antigua casa de postas en la carretera de Jerez a Arcos de la Frontera, cerca de la pedania de Torremelgarejo. Parece ser en ese lugar fueron fusilados y enterrados unas veinte víctimas de Algar, entre ellos miembros de su corporación municipal.""",,
1830/2010 CADI,Fosa en el antiguo cementerio de Santo Domingo,,,Jerez de la Frontera,Cádiz,Andalucía,,,DESAPARECIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Otra de las fosas localizadas en Jerez habría estado emplazada en el antiguo cementerio de Santo Domingo, en su zona protestante o cementerio civil, donde fueron enterradas personas fusiladas en sus tapias. En la década de los años 70 el cementerio fue desmantelado trasladando sus restos al actual cementerio de Nuestra Señora de la Merced. Actualmente, el espacio lo ocupa un parque en el centro de la ciudad. El número de personas allí inhumadas es desconocido.",,
1831/2010 CADI,Fosas en el Cortijo 'El Marrufo',,1/11/1936,Jerez de la Frontera,Cádiz,Andalucía,EXCAVACIÓN,7/2/2012,EXHUMADA TOTAL,,300,,Asociación de Familiares de Represaliados por el Franquismo de La Sauceda y El Marrufo ,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""Entre noviembre de 1936 y marzo de 1937, el cortijo """"El Marrufo"""", en los límites entre las provincias de Cádiz y Málaga, se convirtió en un improvisado centro de detención de las personas que sobrevivieron al asedio de la localidad de La Sauceda, donde muchas personas se habían concentrado en su huida hacia Málaga numerosos prisioneros, mujeres y niños fueron llevados hasta el cortijo y recluidos en su capilla. Tras unas naves que aún hoy se conservan, existe una pequeña pendiente donde en el pasado se colocó una cruz de hierro. Al parecer, el número de víctimas que pudieron ser enterradas allí puede superar las 300 personas. El Gobierno andaluz ha declarado este paraje como Lugar de Memoria. Después de años de investigación histórica, se han localizado siete fosas cuya exhumación se comenzó a primeros de julio de 2012  hasta el momento se han recuperado los restos de 28 víctimas que están sin identificar a la espera de los resultados de las pruebas de ADN. A finales de noviembre de 2012 los restos recuperados han sido trasladados a un mausoleo, el Panteón de la Dignidad, en el cementerio de La Sauceda.""","
","
"
1922/2010 CADI,"""Fosa de la """"Cruz Blanca""""""",,,Jimena de la Frontera,Cádiz,Andalucía,,,NO INTERVENIDA,4,4,4,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"En la localidad de Jimena de la frontera se ha podido localizar tres fosas. Una de ellas es esta, en la Cruz Blanca, en la que estarían enterradas cuatro personas.",,
1923/2010 CADI,Fosa en el castillo-cementerio viejo,,,Jimena de la Frontera,Cádiz,Andalucía,,,NO INTERVENIDA,20,,20,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Otra de las fosas comunes en esta localidad estaría situada en el interior del castillo, donde se encontraba el cementerio viejo. Allí habría un número indeterminado de víctimas, al menos veinte de las que se conoce su identidad.",,
1924/2010 CADI,Fosa en la carretera a San Pablo de Buceite,,,Jimena de la Frontera,Cádiz,Andalucía,,,NO INTERVENIDA,3,3,3,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Otra de las fosas localizadas en Jimena de la Frontera estaría ubicada en la carretera a San Pablo de Buceite, donde estarían enterradas tres víctimas.",,
1926/2010 CADI,Fosa común en el cementerio de La Línea,,,"Línea de la Concepción, La",Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"En el interior del cementerio de La Línea estaría localizada una fosa común, en el patio norte, con un número indeterminado de víctimas. En el libro de inhumaciones constan numerosas víctimas, la mayor parte de ellas desconocidas, desde julio de 1936 a febrero de 1937.",,
1847/2010 CADI,Fosas en el cementerio de Medina-Sidonia,,,Medina-Sidonia,Cádiz,Andalucía,,,NO INTERVENIDA,1,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Se han localizado cuatro fosas en el municipio, de las cuales tres están en el cementerio (en tres zonas ajardinadas a la izquierda y en el cuerpo central del recinto. En estas fosas del cementerio estarían mezcladas las víctimas fusiladas con los pobres de solemnidad de otras épocas. Parece ser que allí fue enterrado el alcalde y además 10 vecinos socialistas y otros 10 republicanos, pero no se conoce el lugar exacto. Fueron fusilados en un pequeño bosque de eucaliptos entre la venta Cabrala y la finca Cantora, en la carretera A-396. Existe una placa de homenaje al alcalde fusilado. ",,
1881/2010 CADI,Fosa en el cementerio de Olvera,,,Olvera,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Según las investigaciones y testimonios recogidos, en el cementerio de Olvera existe una fosa común de grandes dimensiones, con un número indeterminado de víctimas.",,
1882/2010 CADI,"""Fosa en el paraje """"Los Toriles""""""",,,Olvera,Cádiz,Andalucía,,,NO INTERVENIDA,,,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""En el término municipal de Olvera, dentro de la finca La Laina, en el paraje conocido como """"Los toriles"""", existe una fosa común con un número indeterminado de víctimas.""",,
1849/2010 CADI,Fosa en el cementerio de Paterna de la Rivera,FUSILAMIENTO,23/07/1936,Paterna de Rivera,Cádiz,Andalucía,,,NO INTERVENIDA,,13,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,En Paterna de la Rivera los tesimonios recogidos dan cuenta de una única fosa en el cementerio parroquial del pueblo en la que se encuentran inhumados los restos de 13 personas oriundas del pueblo y de sus inmediaciones asesinados la noche del 23 de julio de 1936.,,
1883/2010 CADI,Fosa en el paraje 'La Pinaleda',,,Prado del Rey,Cádiz,Andalucía,,,NO INTERVENIDA,12,17,12,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"""En el término municipal de Prado del Rey, en el paraje conocido como """"La Pinaleda"""" estaría localizada una fosa común que contendría al menos 12 víctimas. Estaría en el margen derecho de la antigua carretera a Villamartín, en un bosque de pinos que prácticamente ha desaparecido, utilizando para el enterramiento una antigua zanja que separaba dos fincas. Allí, al parecer, se habría enterrado a 17 víctimas de Benamahoma de las que se conocen algunas identidades.""",,
1884/2010 CADI,Fosa en la Ermita Nueva,,,Prado del Rey,Cádiz,Andalucía,,,NO INTERVENIDA,3,3,,,Consejería de Gobernación y Justicia de la Junta de Andalucía,"Otra fosa de la localidad estaría ubicada en la pared trasera de la ermita más cercana al cementerio, la ermita nueva, entre la pared y un seto de pinos. En ese espacio se han realizado algunas obras y se ha echado hormigón en la superficie. Los testimonios hablan de, al menos, 3 vecinos de Prado del Rey inhumados en ese lugar.",,
